index,day_date
2021-02-13,51
2021-04-03,46
2021-04-18,44
2021-04-14,39
2021-03-27,34
2021-04-20,31
2021-03-30,22
2021-03-28,20
2021-06-15,20
2021-04-02,20
2021-06-17,18
2021-05-26,16
2021-04-27,15
2021-05-12,14
2021-04-13,14
2021-04-11,13
2021-06-11,10
2021-04-08,10
2021-04-15,10
2021-03-09,9
2021-07-15,9
2021-04-10,9
2021-05-11,8
2021-05-16,7
2021-07-07,6
2021-03-29,6
2021-04-21,6
2021-07-08,5
2021-03-03,5
2021-05-17,5
2021-07-13,4
2021-06-13,4
2021-04-28,4
2021-04-19,4
2021-06-23,4
2021-05-15,4
2021-04-24,4
2021-06-03,3
2021-03-23,3
2021-04-26,3
2021-04-23,3
2021-04-17,3
2021-07-12,3
2021-06-12,3
2021-03-20,3
2021-04-05,3
2021-04-12,3
2021-05-09,3
2021-07-09,3
2021-03-02,2
2021-05-01,2
2021-04-29,2
2021-03-01,2
2021-06-16,2
2021-05-14,2
2021-02-16,2
2021-06-18,2
2021-04-09,2
2021-03-10,2
2021-07-04,2
2021-05-30,2
2021-03-12,2
2021-03-04,2
2021-05-22,2
2021-04-16,2
2021-05-06,2
2021-02-17,1
2021-07-11,1
2021-02-10,1
2021-02-07,1
2021-02-12,1
2021-04-25,1
2021-03-21,1
2021-05-28,1
2021-05-05,1
2021-01-21,1
2021-06-29,1
2021-04-07,1
2021-05-31,1
2021-02-14,1
2021-01-20,1
2021-06-20,1
2021-03-07,1
2021-07-14,1
2021-03-24,1
2021-03-11,1
2021-05-10,1
2021-05-08,1
2021-06-10,1
2021-02-23,1
2021-02-28,1
2021-01-30,1
2021-02-01,1
2021-02-15,1
2021-02-20,1
2021-05-18,1
2021-02-27,1
2021-04-04,1
2021-05-13,1
2021-02-25,1
2021-06-30,1
2021-02-24,1
2021-03-13,1
2021-06-05,1
2021-05-25,1
2021-04-30,1
